Obs,sampleno,month,day,year,metal,type,siteno,conc1,conc,MDL
184,104,December,7,2018,Mn,F,2,60.76190476,60.76190476,0.033380918
185,106,December,7,2018,Mn,F,3,48.42,48.42,0.033380918
186,107,December,7,2018,Mn,F,4,41.74,41.74,0.033380918
187,108,December,7,2018,Mn,F,5,50.02,50.02,0.033380918
188,109,December,7,2018,Mn,F,6,39.18,39.18,0.033380918
189,111,December,7,2018,Mn,F,7,44.54,44.54,0.033380918
190,112,December,7,2018,Mn,F,8,49.86,49.86,0.033380918
191,113,December,7,2018,Mn,F,9,36.46,36.46,0.033380918
192,114,December,7,2018,Mn,F,10,38,38,0.033380918
193,115,December,7,2018,Mn,F,11,34.26,34.26,0.033380918
194,117,December,7,2018,Mn,F,12,15.9,15.9,0.033380918
195,118,December,7,2018,Mn,F,13,12.80952381,12.80952381,0.033380918
196,1,December,7,2018,Mn,W,1,93.72,93.72,0.033380918
197,3,December,7,2018,Mn,W,2,81.81818182,81.81818182,0.033380918
198,4,December,7,2018,Mn,W,3,54.31818182,54.31818182,0.033380918
199,5,December,7,2018,Mn,W,4,54.88,54.88,0.033380918
200,7,December,7,2018,Mn,W,5,55.45454545,55.45454545,0.033380918
201,8,December,7,2018,Mn,W,6,53.78,53.78,0.033380918
202,9,December,7,2018,Mn,W,7,55.16,55.16,0.033380918
203,10,December,7,2018,Mn,W,8,65.54,65.54,0.033380918
204,11,December,7,2018,Mn,W,9,49.84,49.84,0.033380918
205,12,December,7,2018,Mn,W,10,49.34,49.34,0.033380918
206,14,December,7,2018,Mn,W,11,47.16,47.16,0.033380918
207,15,December,7,2018,Mn,W,12,31.52,31.52,0.033380918
208,16,December,7,2018,Mn,W,13,18.4,18.4,0.033380918
209,103,December,7,2018,Ni,F,1,0.3,0.3,0.0621059
210,104,December,7,2018,Ni,F,2,BDL,0.03105295,0.0621059
211,106,December,7,2018,Ni,F,3,BDL,0.03105295,0.0621059
212,107,December,7,2018,Ni,F,4,BDL,0.03105295,0.0621059
213,108,December,7,2018,Ni,F,5,BDL,0.03105295,0.0621059
214,109,December,7,2018,Ni,F,6,BDL,0.03105295,0.0621059
215,111,December,7,2018,Ni,F,7,BDL,0.03105295,0.0621059
216,112,December,7,2018,Ni,F,8,BDL,0.03105295,0.0621059
217,113,December,7,2018,Ni,F,9,BDL,0.03105295,0.0621059
218,114,December,7,2018,Ni,F,10,BDL,0.03105295,0.0621059
219,115,December,7,2018,Ni,F,11,BDL,0.03105295,0.0621059
220,117,December,7,2018,Ni,F,12,BDL,0.03105295,0.0621059
221,118,December,7,2018,Ni,F,13,BDL,0.03105295,0.0621059
222,1,December,7,2018,Ni,W,1,0.2,0.2,0.0621059
